Common.Name,Scientific.Name,Resident.status,IUCN.Redlist.Status,Distribution.Status,SoIB.status,Order,Family,Endemicity
Black-throated Munia,Lonchura kelaarti,Resident,Least Concern,Moderate,Low,Passeriformes,Estrildidae,Not endemic
White-bellied Blue Flycatcher,Cyornis pallidipes,Resident,Least Concern,Moderate,Moderate,Passeriformes,Muscicapidae,Western Ghats
White Wagtail,Motacilla alba,WinterMigrant,Least Concern,Very Large,Moderate,Passeriformes,Motacillidae,Not endemic
Whiskered Tern,Chlidonias hybrida,WinterMigrant,Least Concern,Moderate,Moderate,Charadriiformes,Laridae,Not endemic
Whimbrel,Numenius phaeopus,WinterMigrant,Least Concern,Moderate,Moderate,Charadriiformes,Scolopacidae,Not endemic
Western Yellow Wagtail,Motacilla flava,WinterMigrant,Least Concern,Very Large,Low,Passeriformes,Motacillidae,Not endemic
Western Reef-Heron,Egretta gularis,WinterMigrant,Least Concern,Moderate,Low,Pelecaniformes,Ardeidae,Not endemic
Western Crowned Warbler,Phylloscopus occipitalis,WinterMigrant,Least Concern,Moderate,Moderate,Passeriformes,Phylloscopidae,Not endemic
Watercock,Gallicrex cinerea,Resident,Least Concern,Moderate,Moderate,Gruiformes,Rallidae,Not endemic
Vernal Hanging-Parrot,Loriculus vernalis,Resident,Least Concern,Moderate,Low,Psittaciformes,Psittaculidae,Not endemic
Verditer Flycatcher,Eumyias thalassinus,WinterMigrant,Least Concern,Moderate,Low,Passeriformes,Muscicapidae,Not endemic
Velvet-fronted Nuthatch,Sitta frontalis,Resident,Least Concern,Large,Moderate,Passeriformes,Sittidae,Not endemic
Tytler's Leaf Warbler,Phylloscopus tytleri,WinterMigrant,Near Threatened,Very Restricted,High,Passeriformes,Phylloscopidae,Not endemic
Blue-faced Malkoha,Phaenicophaeus viridirostris,Resident,Least Concern,Large,Low,Cuculiformes,Cuculidae,Not endemic
Tree Pipit,Anthus trivialis,WinterMigrant,Least Concern,Large,Low,Passeriformes,Motacillidae,Not endemic
Tickell's Leaf Warbler,Phylloscopus affinis,WinterMigrant,Least Concern,Moderate,Low,Passeriformes,Phylloscopidae,Not endemic
Brown-capped Woodpecker,Yungipicus nanus,Resident,Least Concern,Moderate,Moderate,Piciformes,Picidae,Not endemic
